2.075	2.4838e-09	1.47944e-09	5.90176e-10
2.675	2.94372e-09	2.33048e-09	4.8539e-10
2.2	1.8056e-09	1.48351e-09	4.01674e-10
2.925	2.94787e-09	1.43562e-09	3.96753e-10
3.3	2.62818e-09	7.91184e-10	2.34276e-10
3.675	1.51598e-09	8.35477e-10	6.62332e-11
3.9	1.29473e-09	3.54612e-10	2.12595e-11
3.125	1.94044e-09	1.35444e-09	1.02991e-09
3.725	1.3703e-09	7.82031e-10	2.92944e-10
4.25	7.23653e-10	5.07275e-10	1.11778e-10
2.075	2.4838e-09	1.47944e-09	5.90176e-10
2.675	2.94372e-09	2.33048e-09	4.8539e-10
2.2	1.8056e-09	1.48351e-09	4.01674e-10
2.925	2.94787e-09	1.43562e-09	3.96753e-10
3.3	2.62818e-09	7.91184e-10	2.34276e-10
3.675	1.51598e-09	8.35477e-10	6.62332e-11
3.9	1.29473e-09	3.54612e-10	2.12595e-11
3.125	1.94044e-09	1.35444e-09	1.02991e-09
3.725	1.3703e-09	7.82031e-10	2.92944e-10
4.25	7.23653e-10	5.07275e-10	1.11778e-10
