1.675	2.95694e-09	9.57435e-10	3.96363e-10
2.075	6.43163e-09	1.19398e-09	6.59918e-10
2.5	5.02504e-09	1.85488e-09	3.47733e-10
2.675	7.54922e-09	2.04291e-09	4.18566e-10
2.2	5.50396e-09	1.47451e-09	5.10658e-10
2.925	5.49804e-09	1.87129e-09	1.96802e-10
1.675	2.95694e-09	9.57435e-10	3.96363e-10
2.075	6.43163e-09	1.19398e-09	6.59918e-10
2.5	5.02504e-09	1.85488e-09	3.47733e-10
2.675	7.54922e-09	2.04291e-09	4.18566e-10
2.2	5.50396e-09	1.47451e-09	5.10658e-10
2.925	5.49804e-09	1.87129e-09	1.96802e-10
1.675	2.95694e-09	9.57435e-10	3.96363e-10
2.075	6.43163e-09	1.19398e-09	6.59918e-10
2.5	5.02504e-09	1.85488e-09	3.47733e-10
2.675	7.54922e-09	2.04291e-09	4.18566e-10
2.2	5.50396e-09	1.47451e-09	5.10658e-10
2.925	5.49804e-09	1.87129e-09	1.96802e-10
