1.675	7.65929e-08	2.48002e-08	1.02669e-08
2.075	1.48914e-07	2.76446e-08	1.52793e-08
2.5	9.94666e-08	3.67159e-08	6.88309e-09
2.675	1.39635e-07	3.77871e-08	7.74209e-09
2.2	1.21978e-07	3.26778e-08	1.13171e-08
2.925	9.24391e-08	3.14621e-08	3.30886e-09
1.675	7.65929e-08	2.48002e-08	1.02669e-08
2.075	1.48914e-07	2.76446e-08	1.52793e-08
2.5	9.94666e-08	3.67159e-08	6.88309e-09
2.675	1.39635e-07	3.77871e-08	7.74209e-09
2.2	1.21978e-07	3.26778e-08	1.13171e-08
2.925	9.24391e-08	3.14621e-08	3.30886e-09
1.675	7.60505e-08	2.46245e-08	1.01942e-08
2.075	1.46764e-07	2.72456e-08	1.50587e-08
2.5	9.78378e-08	3.61147e-08	6.77038e-09
2.675	1.37436e-07	3.71917e-08	7.62012e-09
2.2	1.20078e-07	3.21687e-08	1.11408e-08
2.925	9.11683e-08	3.10296e-08	3.26337e-09
